Dataset Name,Donated Date,Description,Dataset Characteristics,Subject Area,Associated Tasks,Feature Type,Instances,Features
Parkinson's Speech with Multiple Types of Sound Recordings,6/11/2014,N/A,Multivariate,Health and Medicine,"Classification, Regression","Integer, Real",1040,-
Micro Gas Turbine Electrical Energy Prediction,4/23/2024,N/A,"Sequential, Multivariate, Time-Series",Engineering,Regression,Real,71225,1
Gas Sensor Array Drift at Different Concentrations,10/22/2013,N/A,"Multivariate, Time-Series",Computer Science,"Classification, Regression, Clustering, Causa",Real,13910,128
User Knowledge Modeling,6/25/2013,N/A,Multivariate,Computer Science,"Classification, Clustering",Integer,403,5
Skin Segmentation,7/16/2012,N/A,Univariate,Computer Science,Classification,Real,245057,3
Tennis Major Tournament Match Statistics,5/31/2014,N/A,Multivariate,Other,"Classification, Regression, Clustering","Integer, Real",127,42
Residential Building,2/18/2018,N/A,Multivariate,Computer Science,Regression,Real,372,-
Physical Therapy Exercises,5/7/2022,N/A,Time-Series,Engineering,"Classification, Clustering, Other",-,268881,-
Alcohol QCM Sensor,7/21/2019,N/A,Multivariate,Computer Science,"Classification, Regression, Clustering",Real,125,8
WISDM Smartphone and Smartwatch Activity and Biometrics Dataset,10/5/2019,N/A,"Multivariate, Time-Series",Computer Science,Classification,Real,15630426,6
Palmer Penguins,Linked on 11/14/2021,N/A,Tabular,Biology,Classification,-,344,-
Twenty Newsgroups,9/8/1999,N/A,Text,Other,-,-,20000,-
Thoracic Surgery Data,11/12/2013,N/A,Multivariate,Health and Medicine,Classification,"Integer, Real",470,16
Audit Data,7/13/2018,N/A,Multivariate,Business,Classification,Real,777,-
Concrete Slump Test,4/29/2009,N/A,Multivariate,Computer Science,Regression,Real,103,-
Forty Soybean Cultivars from Subsequent Harvests,10/28/2023,N/A,Tabular,Other,"Classification, Regression, Clustering, Other","Real, Categorical, Integer",320,11
Multiple Features,N/A,N/A,Multivariate,Computer Science,Classification,"Integer, Real",2000,-
ISOLET,9/11/1994,N/A,Multivariate,Computer Science,Classification,Real,7797,617
